Date,Last Price,Volume
2025-01-02 10:00:00,53.9,25552
2025-01-02 10:30:00,53.76,141285
2025-01-02 11:00:00,53.925,40475
2025-01-02 11:30:00,53.7699,35482
2025-01-02 12:00:00,53.315,22679
2025-01-02 12:30:00,52.915,69341
2025-01-02 13:00:00,53.08,29427
2025-01-02 13:30:00,53.13,22945
2025-01-02 14:00:00,53.22,32607
2025-01-02 14:30:00,52.63,65661
2025-01-02 15:00:00,52.99,41565
2025-01-02 15:30:00,53.53,200603
2025-01-03 09:30:00,53.7699,56746
2025-01-03 10:00:00,54.265,22377
2025-01-03 10:30:00,54.141,35376
2025-01-03 11:00:00,53.88,30475
2025-01-03 11:30:00,54.52,33629
2025-01-03 12:00:00,54.28,23220
2025-01-03 12:30:00,54.135,30179
2025-01-03 13:00:00,54.36,17079
2025-01-03 13:30:00,54.42,25537
2025-01-03 14:00:00,54.5,12948
2025-01-03 14:30:00,54.63,14106
2025-01-03 15:00:00,54.75,25529
2025-01-03 15:30:00,55.175,172903
2025-01-06 09:30:00,55.1789,115295
2025-01-06 10:00:00,55.545,40650
2025-01-06 10:30:00,55.71,34244
2025-01-06 11:00:00,55.61,42342
2025-01-06 11:30:00,55.71,27493
2025-01-06 12:00:00,55.75,34340
2025-01-06 12:30:00,55.955,23031
2025-01-06 13:00:00,55.9,18805
2025-01-06 13:30:00,55.67,29115
2025-01-06 14:00:00,55.82,40009
2025-01-06 14:30:00,55.48,34722
2025-01-06 15:00:00,55.7,38157
2025-01-06 15:30:00,55.595,163523
2025-01-07 09:30:00,57.08,86191
2025-01-07 10:00:00,55.873,126907
2025-01-07 10:30:00,55.865,50661
2025-01-07 11:00:00,55.71,43328
2025-01-07 11:30:00,55.295,66562
2025-01-07 12:00:00,55.66,30495
2025-01-07 12:30:00,55.43,70878
2025-01-07 13:00:00,55.825,66808
2025-01-07 13:30:00,55.64,52428
2025-01-07 14:00:00,55.84,25117
2025-01-07 14:30:00,55.665,43132
2025-01-07 15:00:00,55.36,55048
2025-01-07 15:30:00,55.45,171860
2025-01-08 09:30:00,54.985,50544
2025-01-08 10:00:00,54.98,63650
2025-01-08 10:30:00,55.08,25074
2025-01-08 11:00:00,54.9371,39991
2025-01-08 11:30:00,55.246,15242
2025-01-08 12:00:00,54.745,36741
2025-01-08 12:30:00,54.705,33500
2025-01-08 13:00:00,54.985,28965
2025-01-08 13:30:00,54.63,48420
2025-01-08 14:00:00,55.09,43294
2025-01-08 14:30:00,54.95,68643
2025-01-08 15:00:00,54.92,51442
2025-01-08 15:30:00,55.0,220460
2025-01-10 09:30:00,52.32,172318
2025-01-10 10:00:00,52.905,87826
2025-01-10 10:30:00,52.54,113795
2025-01-10 11:00:00,52.5371,70566
2025-01-10 11:30:00,51.96,58162
2025-01-10 12:00:00,52.18,55285
2025-01-10 12:30:00,52.4,30286
2025-01-10 13:00:00,52.345,24028
2025-01-10 13:30:00,52.26,44494
2025-01-10 14:00:00,51.935,70298
2025-01-10 14:30:00,51.84,99621
2025-01-10 15:00:00,51.545,109908
2025-01-10 15:30:00,52.08,325458
2025-01-13 09:30:00,49.825,165032
2025-01-13 10:00:00,49.415,141416
2025-01-13 10:30:00,49.475,83538
2025-01-13 11:00:00,49.175,94318
2025-01-13 11:30:00,49.085,65924
2025-01-13 12:00:00,49.835,79701
2025-01-13 12:30:00,49.9,51988
2025-01-13 13:00:00,49.71,59141
2025-01-13 13:30:00,49.65,61719
2025-01-13 14:00:00,49.405,72342
2025-01-13 14:30:00,49.15,76225
2025-01-13 15:00:00,49.28,75077
2025-01-13 15:30:00,49.71,273094
2025-01-14 09:30:00,50.48,101096
2025-01-14 10:00:00,51.47,35796
2025-01-14 10:30:00,50.705,24009
2025-01-14 11:00:00,50.58,19554
2025-01-14 11:30:00,50.34,22718
2025-01-14 12:00:00,50.305,22339
2025-01-14 12:30:00,50.47,18096
2025-01-14 13:00:00,50.82,18677
2025-01-14 13:30:00,51.09,24216
2025-01-14 14:00:00,50.825,80376
2025-01-14 14:30:00,50.4938,23979
2025-01-14 15:00:00,50.45,33559
2025-01-14 15:30:00,50.78,176400
2025-01-15 09:30:00,51.87,49803
2025-01-15 10:00:00,52.44,39811
2025-01-15 10:30:00,52.33,36204
2025-01-15 11:00:00,52.44,34890
2025-01-15 11:30:00,52.3801,41794
2025-01-15 12:00:00,52.45,17029
2025-01-15 12:30:00,52.29,59136
2025-01-15 13:00:00,52.53,29747
2025-01-15 13:30:00,52.44,20078
2025-01-15 14:00:00,52.75,50760
2025-01-15 14:30:00,52.77,20612
2025-01-15 15:00:00,52.94,92747
2025-01-15 15:30:00,53.0,244975
2025-01-16 09:30:00,52.88,27067
2025-01-16 10:00:00,52.605,20385
2025-01-16 10:30:00,52.76,14893
2025-01-16 11:00:00,53.16,16989
2025-01-16 11:30:00,53.01,17132
2025-01-16 12:00:00,53.165,9168
2025-01-16 12:30:00,53.01,10038
2025-01-16 13:00:00,52.99,9537
2025-01-16 13:30:00,52.875,10493
2025-01-16 14:00:00,53.3,63038
2025-01-16 14:30:00,53.27,16159
2025-01-16 15:00:00,52.95,22416
2025-01-16 15:30:00,53.21,120654
2025-01-17 09:30:00,53.09,18080
2025-01-17 10:00:00,53.13,18209
2025-01-17 10:30:00,53.71,36310
2025-01-17 11:00:00,53.9,23761
2025-01-17 11:30:00,53.8,20455
2025-01-17 12:00:00,54.0063,25878
2025-01-17 12:30:00,53.9,13271
2025-01-17 13:00:00,54.03,25953
2025-01-17 13:30:00,54.25,21746
2025-01-17 14:00:00,54.4,29620
2025-01-17 14:30:00,54.145,25005
2025-01-17 15:00:00,54.15,27191
2025-01-17 15:30:00,53.7,122158
2025-01-21 09:30:00,54.3277,61945
2025-01-21 10:00:00,54.04,22797
2025-01-21 10:30:00,54.59,17987
2025-01-21 11:00:00,54.65,19780
2025-01-21 11:30:00,54.77,28530
2025-01-21 12:00:00,54.88,33740
2025-01-21 12:30:00,55.07,26850
2025-01-21 13:00:00,55.53,48163
2025-01-21 13:30:00,55.58,34525
2025-01-21 14:00:00,55.545,25986
2025-01-21 14:30:00,55.45,52511
2025-01-21 15:00:00,55.49,60793
2025-01-21 15:30:00,55.56,130977
2025-01-22 09:30:00,56.24,46013
2025-01-22 10:00:00,55.78,16329
2025-01-22 10:30:00,55.735,12177
2025-01-22 11:00:00,55.545,20578
2025-01-22 11:30:00,55.96,19805
2025-01-22 12:00:00,56.005,16350
2025-01-22 12:30:00,55.77,10478
2025-01-22 13:00:00,55.915,18373
2025-01-22 13:30:00,55.755,12645
2025-01-22 14:00:00,55.79,17887
2025-01-22 14:30:00,56.15,19144
2025-01-22 15:00:00,55.905,25172
2025-01-22 15:30:00,56.05,111439
2025-01-23 09:30:00,55.0988,28717
2025-01-23 10:00:00,55.44,41795
2025-01-23 10:30:00,55.795,21591
2025-01-23 11:00:00,56.15,19011
2025-01-23 11:30:00,55.935,24392
2025-01-23 12:00:00,56.22,24552
2025-01-23 12:30:00,56.11,35020
2025-01-23 13:00:00,56.21,30223
2025-01-23 13:30:00,56.34,16569
2025-01-23 14:00:00,56.19,26965
2025-01-23 14:30:00,56.165,26304
2025-01-23 15:00:00,56.02,45500
2025-01-23 15:30:00,55.71,201195
2025-01-24 09:30:00,56.595,42959
2025-01-24 10:00:00,56.56,28490
2025-01-24 10:30:00,56.975,25102
2025-01-24 11:00:00,57.05,34260
2025-01-24 11:30:00,56.64,23290
2025-01-24 12:00:00,56.44,34769
2025-01-24 12:30:00,56.5,24066
2025-01-24 13:00:00,56.76,19426
2025-01-24 13:30:00,56.5275,32146
2025-01-24 14:00:00,56.35,34776
2025-01-24 14:30:00,56.26,18010
2025-01-24 15:00:00,56.29,31741
2025-01-24 15:30:00,56.54,109708
2025-01-27 09:30:00,56.565,86768
2025-01-27 10:00:00,56.68,19260
2025-01-27 10:30:00,56.92,22970
2025-01-27 11:00:00,56.175,38981
2025-01-27 11:30:00,56.29,27048
2025-01-27 12:00:00,56.2101,29324
2025-01-27 12:30:00,56.085,21205
2025-01-27 13:00:00,55.35,70854
2025-01-27 13:30:00,55.3799,31520
2025-01-27 14:00:00,55.56,14529
2025-01-27 14:30:00,54.9,55728
2025-01-27 15:00:00,55.095,61448
2025-01-27 15:30:00,55.39,117490
2025-01-28 09:30:00,56.08,69351
2025-01-28 10:00:00,56.83,76269
2025-01-28 10:30:00,56.98,88420
2025-01-28 11:00:00,56.42,62039
2025-01-28 11:30:00,56.75,26824
2025-01-28 12:00:00,56.925,25860
2025-01-28 12:30:00,56.815,28027
2025-01-28 13:00:00,57.315,112537
2025-01-28 13:30:00,57.08,24805
2025-01-28 14:00:00,56.7957,73522
2025-01-28 14:30:00,57.16,26967
2025-01-28 15:00:00,57.13,40383
2025-01-28 15:30:00,57.17,163351
2025-01-29 09:30:00,57.4294,107936
2025-01-29 10:00:00,57.13,50879
2025-01-29 10:30:00,57.08,34978
2025-01-29 11:00:00,57.395,38765
2025-01-29 11:30:00,57.52,34186
2025-01-29 12:00:00,57.845,34640
2025-01-29 12:30:00,58.025,45889
2025-01-29 13:00:00,57.89,43553
2025-01-29 13:30:00,57.92,56246
2025-01-29 14:00:00,57.825,108434
2025-01-29 14:30:00,57.96,48892
2025-01-29 15:00:00,58.1,77598
2025-01-29 15:30:00,57.67,228613
2025-01-30 09:30:00,59.1,77200
2025-01-30 10:00:00,59.0,126980
2025-01-30 10:30:00,58.89,55459
2025-01-30 11:00:00,59.1487,38611
2025-01-30 11:30:00,59.485,113595
2025-01-30 12:00:00,59.38,53242
2025-01-30 12:30:00,59.59,35583
2025-01-30 13:00:00,59.33,37701
2025-01-30 13:30:00,59.5,23813
2025-01-30 14:00:00,59.655,33569
2025-01-30 14:30:00,59.53,24624
2025-01-30 15:00:00,59.39,115792
2025-01-30 15:30:00,58.97,260801
2025-01-31 09:30:00,59.43,93298
2025-01-31 10:00:00,59.71,79309
2025-01-31 10:30:00,59.64,60349
2025-01-31 11:00:00,59.6122,40084
2025-01-31 11:30:00,59.595,36087
2025-01-31 12:00:00,59.78,50105
2025-01-31 12:30:00,59.8,83934
2025-01-31 13:00:00,59.78,95421
2025-01-31 13:30:00,59.635,98877
2025-01-31 14:00:00,59.74,144168
2025-01-31 14:30:00,59.455,128492
2025-01-31 15:00:00,59.105,134797
2025-01-31 15:30:00,59.11,349902
