Date,Last Price,Volume
12/24/24 11:15,57.89,26112
12/24/24 11:30,57.87,29084
12/24/24 11:45,58.03,39241
12/24/24 12:00,58.01,14656
12/24/24 12:15,57.97,36330
12/24/24 12:30,58.15,37091
12/24/24 12:45,58.17,71300
12/24/24 13:00,58.27,67771
12/24/24 14:00,58.27,0
12/24/24 15:15,58.27,0
12/24/24 15:30,58.27,0
12/26/24 9:30,58.43,67056
12/26/24 9:45,58.45,43321
12/26/24 10:00,58.12,33566
12/26/24 10:15,58.41,32216
12/26/24 10:30,58.39,27627
12/26/24 10:45,58.5,20094
12/26/24 11:00,58.5212,27688
12/26/24 11:15,58.41,36536
12/26/24 11:30,58.54,19743
12/26/24 11:45,58.32,19388
12/26/24 12:00,58.22,19676
12/26/24 12:15,58.12,13796
12/26/24 12:30,58.08,13449
12/26/24 12:45,58.06,19411
12/26/24 13:00,58.21,41127
12/26/24 13:15,58.415,13698
12/26/24 13:30,58.2,10331
12/26/24 13:45,58.19,13697
12/26/24 14:00,58.19,10377
12/26/24 14:15,58.15,12062
12/26/24 14:30,58.095,15505
12/26/24 14:45,58.1394,11994
12/26/24 15:00,58.11,51336
12/26/24 15:15,58.31,29973
12/26/24 15:30,58.34,40997
12/26/24 15:45,58.38,210780
12/27/24 9:30,57.91,50455
12/27/24 9:45,57.71,23058
12/27/24 10:00,56.72,118175
12/27/24 10:15,56.99,102296
12/27/24 10:30,56.9699,25787
12/27/24 10:45,57.185,27620
12/27/24 11:00,57.19,24759
12/27/24 11:15,57.15,19623
12/27/24 11:30,57.03,32062
12/27/24 11:45,57.04,30381
12/27/24 12:00,57.04,20044
12/27/24 12:15,57.01,36538
12/27/24 12:30,57.035,26661
12/27/24 12:45,57.095,21241
12/27/24 13:00,57.21,5574
12/27/24 13:15,57.23,26295
12/27/24 13:30,57.36,22417
12/27/24 13:45,57.4592,7878
12/27/24 14:00,57.59,38531
12/27/24 14:15,57.48,13946
12/27/24 14:30,57.65,11647
12/27/24 14:45,57.54,22822
12/27/24 15:00,57.42,46419
12/27/24 15:15,57.48,36400
12/27/24 15:30,57.43,43860
12/27/24 15:45,57.78,111995
12/30/24 9:30,55.075,242442
12/30/24 9:45,54.965,43222
12/30/24 10:00,54.76,55204
12/30/24 10:15,54.62,32061
12/30/24 10:30,55.425,73591
12/30/24 10:45,55.88,41271
12/30/24 11:00,55.4789,20378
12/30/24 11:15,55.49,12541
12/30/24 11:30,55.52,60446
12/30/24 11:45,55.5,81103
12/30/24 12:00,55.66,51727
12/30/24 12:15,55.255,19586
12/30/24 12:30,55.265,23153
12/30/24 12:45,55.38,20115
12/30/24 13:00,55.23,27901
12/30/24 13:15,54.95,41640
12/30/24 13:30,54.96,14398
12/30/24 13:45,54.89,13087
12/30/24 14:00,54.795,22568
12/30/24 14:15,54.58,21393
12/30/24 14:30,54.47,17968
12/30/24 14:45,54.2658,38565
12/30/24 15:00,54.095,45444
12/30/24 15:15,53.9801,47699
12/30/24 15:30,53.81,83769
12/30/24 15:45,53.46,293749
12/31/24 9:30,53.46,47978
12/31/24 9:45,53.78,27481
12/31/24 10:00,53.46,63064
12/31/24 10:15,53.99,20263
12/31/24 10:30,53.8,13226
12/31/24 10:45,54.03,75567
12/31/24 11:00,54.175,40559
12/31/24 11:15,53.95,36194
12/31/24 11:30,54.0666,27231
12/31/24 11:45,53.91,14963
12/31/24 12:00,53.81,17319
12/31/24 12:15,53.4,28486
12/31/24 12:30,53.625,19981
12/31/24 12:45,53.765,16493
12/31/24 13:00,53.7,12593
12/31/24 13:15,53.55,42134
12/31/24 13:30,53.605,20425
12/31/24 13:45,53.61,15571
12/31/24 14:00,53.93,24046
12/31/24 14:15,53.71,11391
12/31/24 14:30,53.56,8908
12/31/24 14:45,53.675,35902
12/31/24 15:00,53.66,25242
